the 	 bread 	 is 	 top 	 notch 	 as 	 well 	 . 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
bread 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
Predicted: 2	 Actual: 2	

0.029282626	0.030788066	0.045080252	0.105441935	0.09361365	0.027865462	0.032148283	0.017159885	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425	0.0085919425
0.042215638	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853	0.012123853


i 	 have 	 to 	 say 	 they 	 have 	 one 	 of 	 the 	 fastest 	 delivery 	 times 	 in 	 the 	 city 	 . 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
delivery 	 times 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
Predicted: 2	 Actual: 2	

0.019535057	0.019786833	0.015161604	0.029707294	0.020076592	0.019610245	0.014192838	0.01577267	0.04001795	0.06330748	0.032817684	0.020353425	0.032374654	0.04001795	0.036888346	0.01886316	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369	0.00877369
